Mix_ID,Cement_kg_m3,Water_kg_m3,Sand_kg_m3,Aggregate_kg_m3,Age_days,Compressive_Strength_MPa
1,300,190,750,1050,7,20.5
2,320,185,745,1045,7,22.1
3,340,180,740,1040,7,24.0
4,360,175,735,1035,7,26.2
5,380,170,730,1030,7,28.0
6,400,165,725,1025,7,30.1
7,420,160,720,1020,14,34.2
8,310,195,755,1055,14,25.8
9,330,188,748,1048,14,28.4
10,350,182,742,1042,14,31.0
11,370,178,738,1038,14,33.5
12,390,172,732,1032,14,35.2
13,410,168,726,1026,28,39.0
14,430,162,718,1018,28,41.5
15,315,192,752,1052,28,34.8
16,345,180,741,1041,28,38.2
17,375,174,734,1034,28,42.0
18,405,166,724,1024,28,45.1
19,425,164,716,1016,28,47.0
20,450,158,710,1010,28,49.5
